# temperature (K)	pressure (bar)	magnetic field (V)	photoresistance (V)	acceleration (m/s^2)
298.58	1.1436300000000001	2.2509765625	0.9033203125	(0.16, -0.04, 10.4)
298.57	1.1436300000000001	2.2607421875	0.9033203125	(0.16, -0.04, 10.4)
298.57	1.14375	2.2509765625	0.908203125	(0.16, 0.0, 10.43)
298.57	1.1436600000000001	2.2607421875	0.908203125	(0.12, 0.0, 10.32)
298.57	1.1436300000000001	2.2607421875	0.9033203125	(0.12, -0.04, 10.36)
298.57	1.1436600000000001	2.255859375	0.9033203125	(0.16, 0.0, 10.36)
298.57	1.14372	2.2607421875	0.8984375	(0.12, 0.0, 10.36)
298.57	1.14369	2.2607421875	0.9033203125	(0.08, -0.04, 10.36)
298.57	1.1436600000000001	2.255859375	0.8984375	(0.16, -0.04, 10.32)
298.57	1.14369	2.2607421875	0.8984375	(0.16, 0.0, 10.36)
298.58	1.1436300000000001	2.2607421875	0.8984375	(0.08, -0.04, 10.36)
298.58	1.14357	2.255859375	0.8935546875	(0.16, -0.04, 10.4)
298.58	1.14357	2.255859375	0.8935546875	(0.16, 0.0, 10.36)
298.58	1.1436300000000001	2.255859375	0.8935546875	(0.16, 0.0, 10.36)
298.58	1.1436	2.255859375	0.8984375	(0.16, 0.0, 10.4)
298.58	1.14354	2.2607421875	0.8984375	(0.12, -0.04, 10.36)
298.58	1.14357	2.255859375	0.8935546875	(0.12, -0.04, 10.4)
298.59	1.14347	2.2607421875	0.8935546875	(0.12, 0.0, 10.36)
298.59	1.14344	2.255859375	0.8984375	(0.16, 0.0, 10.32)
298.58	1.1435	2.255859375	0.9033203125	(0.12, 0.0, 10.36)
298.59	1.1435	2.255859375	0.908203125	(0.16, 0.0, 10.43)
298.59	1.14347	2.255859375	0.9130859375	(0.16, 0.0, 10.36)
298.59	1.14341	2.255859375	0.91796875	(0.12, 0.0, 10.4)
298.58	1.1435	2.2607421875	0.9228515625	(0.12, 0.0, 10.4)
298.59999999999997	1.14344	2.255859375	0.9228515625	(0.12, -0.04, 10.32)
298.59	1.14344	2.255859375	0.927734375	(0.12, 0.0, 10.4)
298.59	1.14341	2.2607421875	0.927734375	(0.12, 0.0, 10.4)
298.59	1.14341	2.2607421875	0.9228515625	(0.12, -0.04, 10.43)
298.58	1.14347	2.255859375	0.9228515625	(0.16, -0.04, 10.4)
298.59	1.14347	2.255859375	0.91796875	(0.12, 0.0, 10.36)
298.59999999999997	1.1433499999999999	2.2607421875	0.9130859375	(0.12, 0.0, 10.28)
298.59999999999997	1.14331	2.255859375	0.91796875	(0.12, 0.0, 10.36)
298.60999999999996	1.14325	2.255859375	0.91796875	(0.16, 0.0, 10.4)
298.59999999999997	1.14338	2.2607421875	0.91796875	(0.16, -0.04, 10.36)
