ma (eV), gp
1.027344684215942943e-12,4.550232564166643606e-06
5.014766287125271354e-12,3.834405159049915497e-06
9.002187890034600573e-12,6.885066822585886207e-07
1.298960949294392898e-11,2.607370123504509926e-07
1.697703109585326063e-11,2.606209096269798514e-07
2.096445269876258904e-11,2.660341581900336971e-07
2.495187430167191422e-11,2.850558884321767493e-07
2.893929590458124586e-11,2.794090180778768146e-07
3.292671750749057104e-11,2.662429715995098671e-07
3.691413911039989622e-11,2.722568820301509280e-07
4.090156071330922786e-11,2.691764615905136836e-07
4.488898231621856597e-11,2.630660333853135889e-07
4.887640391912788469e-11,2.628335810748252478e-07
5.286382552203721633e-11,2.607672641806243759e-07
5.685124712494654151e-11,2.639932581711534722e-07
6.083866872785587961e-11,2.671201029537608706e-07
6.482609033076520479e-11,2.657834839515319547e-07
6.881351193367452997e-11,2.701026103870608189e-07
7.280093353658384223e-11,2.663656723983581052e-07
7.678835513949319326e-11,2.624741081840683787e-07
8.077577674240251844e-11,2.633802867397615699e-07
8.476319834531184362e-11,2.623633838514013257e-07
8.875061994822119465e-11,2.658792106957887448e-07
9.273804155113051983e-11,2.676719093280477644e-07
9.672546315403984501e-11,2.665896405931563922e-07
1.007128847569491702e-10,2.654319677638959258e-07
1.047003063598584695e-10,2.627293769156306884e-07
1.086877279627678205e-10,2.608571539634117441e-07
1.126751495656771457e-10,2.585101009656892356e-07
1.166625711685864709e-10,2.599948358113841927e-07
1.206499927714958090e-10,2.589137047553902522e-07
1.246374143744051471e-10,2.588102220719544801e-07
1.286248359773144594e-10,2.588885926130907971e-07
1.326122575802237975e-10,2.620874150832729004e-07
1.365996791831331097e-10,2.639365179387772938e-07
1.405871007860424478e-10,2.607313193980123112e-07
1.445745223889517601e-10,2.592967602246978284e-07
1.485619439918611240e-10,2.626242579820495645e-07
1.525493655947704622e-10,2.681082362143093315e-07
1.565367871976797486e-10,2.680267425111680640e-07
1.605242088005891125e-10,2.693167261051988591e-07
1.645116304034984248e-10,2.686498318103915023e-07
1.684990520064077370e-10,2.667102348816059594e-07
1.724864736093170751e-10,2.657620870548185089e-07
1.764738952122264132e-10,2.638358359557692579e-07
1.804613168151357255e-10,2.647701999410451226e-07
1.844487384180450894e-10,2.620535079933439759e-07
1.884361600209543758e-10,2.649429673243239440e-07
1.924235816238637398e-10,2.730556758559568288e-07
1.964110032267730521e-10,2.771854930710650238e-07
2.003984248296823385e-10,2.731654272692768942e-07
2.043858464325917024e-10,2.729269776909243403e-07
2.083732680355010405e-10,2.667834306874073240e-07
2.123606896384104045e-10,2.644138393336284103e-07
2.163481112413196909e-10,2.618896167071778628e-07
2.203355328442290290e-10,2.699041073153090440e-07
2.243229544471383929e-10,2.940090661379205984e-07
2.283103760500476793e-10,2.848172057646808616e-07
2.322977976529569916e-10,2.712085850075728519e-07
2.362852192558663814e-10,2.725052248016041707e-07
2.402726408587756678e-10,2.704685746696141421e-07
2.442600624616849542e-10,2.677126760618982287e-07
2.482474840645943440e-10,2.683468572258946060e-07
2.522349056675036821e-10,2.777519566036324816e-07
2.562223272704130202e-10,2.970322857854300251e-07
2.602097488733223066e-10,2.821729904431243186e-07
2.641971704762316447e-10,2.694988084242290286e-07
2.681845920791409828e-10,2.727026504768509398e-07
2.721720136820503209e-10,2.705345663193960810e-07
2.761594352849596074e-10,2.730303960340590997e-07
2.801468568878689455e-10,2.735095655805432289e-07
2.841342784907783353e-10,2.820344565637189644e-07
2.881217000936876217e-10,2.886178126659968108e-07
2.921091216965969081e-10,2.916407192402442167e-07
2.960965432995062462e-10,2.852025316878803887e-07
3.000839649024156360e-10,2.876330936733053635e-07
3.040713865053249741e-10,3.015033909203207874e-07
3.080588081082342605e-10,2.911406829423382199e-07
3.120462297111435469e-10,2.918627758814341072e-07
3.160336513140529367e-10,3.291148674154424364e-07
3.200210729169622231e-10,3.375555895720066961e-07
3.240084945198715612e-10,3.781802776501503704e-07
3.279959161227809510e-10,4.133714495265308906e-07
3.319833377256902374e-10,5.112145765976916593e-07
3.359707593285995238e-10,7.010028308873354491e-07
3.399581809315088619e-10,8.979178661942840770e-07
3.439456025344182517e-10,1.406808915558897820e-06
3.479330241373275381e-10,2.081073886076896405e-06
3.519204457402369279e-10,4.929351929262731178e-06
3.559078673431462144e-10,2.441714310581689267e-04
3.598952889460555525e-10,1.060466562316670584e-03
3.638827105489648389e-10,1.859858952780764916e-03
